Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
27-JUN-2025,25576.65,25654.2,25523.55,25637.8,563957748,47108.6
26-JUN-2025,25268.95,25565.3,25259.9,25549,428891818,38689.39
25-JUN-2025,25150.35,25266.8,25125.05,25244.75,260582584,22985.17
24-JUN-2025,25179.9,25317.7,24999.7,25044.35,450185468,35508.9
23-JUN-2025,24939.75,25057,24824.85,24971.9,248534153,20797.88
20-JUN-2025,24787.65,25136.2,24783.65,25112.4,574654035,55782.03
19-JUN-2025,24803.25,24863.1,24733.4,24793.25,274619935,23620.79
18-JUN-2025,24788.35,24947.55,24750.45,24812.05,237599011,22044.05
17-JUN-2025,24977.85,24982.05,24813.7,24853.4,242415740,21818.05
16-JUN-2025,24732.35,24967.1,24703.6,24946.5,305813047,23857.15
13-JUN-2025,24473,24754.35,24473,24718.6,318711364,24838.56
12-JUN-2025,25164.45,25196.2,24825.9,24888.2,328310748,29573.27
11-JUN-2025,25134.15,25222.4,25081.3,25141.4,301245273,25871.18
10-JUN-2025,25196.05,25199.3,25055.45,25104.25,307323471,28813.93
09-JUN-2025,25160.1,25160.1,25077.15,25103.2,279219989,25606.21
06-JUN-2025,24748.7,25029.5,24671.45,25003.05,335581057,30041.71
05-JUN-2025,24691.2,24899.85,24613.1,24750.9,388405978,30186.46
04-JUN-2025,24560.45,24644.25,24530.45,24620.2,280862575,21907.07
03-JUN-2025,24786.3,24845.1,24502.15,24542.5,349288937,28906.4
02-JUN-2025,24669.7,24754.4,24526.15,24716.6,311100908,25091.04
30-MAY-2025,24812.6,24863.95,24717.4,24750.7,853890978,52247.87
29-MAY-2025,24825.1,24892.6,24677.3,24833.6,345370611,29730.05
28-MAY-2025,24832.5,24864.25,24737.05,24752.45,684425321,37143.55
27-MAY-2025,24956.65,25062.9,24704.1,24826.2,525653668,33638.3
26-MAY-2025,24919.35,25079.2,24900.5,25001.15,302799227,20060.68
23-MAY-2025,24639.5,24909.05,24614.05,24853.15,270470348,20200.73
22-MAY-2025,24733.95,24737.5,24462.4,24609.7,403279638,30579.52
21-MAY-2025,24744.25,24946.2,24685.35,24813.45,332724952,23179.85
20-MAY-2025,24996.2,25010.35,24669.7,24683.9,414799113,31063.03
19-MAY-2025,25005.35,25062.95,24916.65,24945.45,255254340,21598.6
16-MAY-2025,25064.65,25070,24953.05,25019.8,432717092,43815.86
15-MAY-2025,24694.45,25116.25,24494.45,25062.1,500821889,44147.39
14-MAY-2025,24613.8,24767.55,24535.55,24666.9,345490805,25585.37
13-MAY-2025,24864.05,24973.8,24547.5,24578.35,422977876,34576.66
12-MAY-2025,24420.1,24944.8,24378.85,24924.7,368707684,30362.27
09-MAY-2025,23935.75,24164.25,23935.75,24008,335550680,28942.61
08-MAY-2025,24431.5,24447.25,24150.2,24273.8,411362230,36893.06
07-MAY-2025,24233.3,24449.6,24220,24414.4,330137191,27648.34
06-MAY-2025,24500.75,24509.65,24331.8,24379.6,302354059,26481.15
05-MAY-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36
02-MAY-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27
30-APR-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48
29-APR-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88
28-APR-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82
25-APR-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86
24-APR-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29
23-APR-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08
22-APR-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29
21-APR-2025,23949.15,24189.55,23903.65,24125.55,406145632,33125.62
17-APR-2025,23401.85,23872.35,23298.55,23851.65,505333905,38450.09
16-APR-2025,23344.1,23452.2,23273.05,23437.2,348424960,28102.36
15-APR-2025,23368.35,23368.35,23207,23328.55,388321931,34216.17
11-APR-2025,22695.4,22923.9,22695.4,22828.55,402162001,33683.6
09-APR-2025,22460.3,22468.7,22353.25,22399.15,383822618,28996.55
08-APR-2025,22446.75,22697.2,22270.85,22535.85,468250807,37226.82
07-APR-2025,21758.4,22254,21743.65,22161.6,647107618,49172.14
04-APR-2025,23190.4,23214.7,22857.45,22904.45,466776198,33761.96
03-APR-2025,23150.3,23306.5,23145.8,23250.1,283196379,23501.33
02-APR-2025,23192.6,23350,23158.45,23332.35,340970371,24334.3
01-APR-2025,23341.1,23565.15,23136.4,23165.7,375118343,30680.7
28-MAR-2025,23600.4,23649.2,23450.2,23519.35,387455531,29156.37
27-MAR-2025,23433.95,23646.45,23412.2,23591.95,510302142,46481.84
26-MAR-2025,23700.95,23736.5,23451.7,23486.85,278590831,26877.28
25-MAR-2025,23751.5,23869.6,23601.4,23668.65,338216746,35415.03
24-MAR-2025,23515.4,23708.75,23433.5,23658.35,311900413,28871.35
21-MAR-2025,23168.25,23402.7,23132.8,23350.4,540966316,51005.67
20-MAR-2025,23036.6,23216.7,22973.95,23190.65,313729818,27573.99
19-MAR-2025,22874.95,22940.7,22807.95,22907.6,323992121,26994.95
18-MAR-2025,22662.25,22857.8,22599.2,22834.3,272578844,26387.47
17-MAR-2025,22353.15,22577,22353.15,22508.75,251102239,24122.27
13-MAR-2025,22541.5,22558.05,22377.35,22397.2,287535243,22855.58
12-MAR-2025,22536.35,22577.4,22329.55,22470.5,369736725,33406.41
